,Country,Attacks,Fatalities,AttackProbability,FatalityRatio,FatalityProbability,risk
0,AUSTRALIA,1431,427,0.2199170124481327,0.2983927323549965,0.0656216382357461,10.0
1,USA,2461,398,0.3782080836022745,0.1617228768793173,0.0611648993391732,9.4
2,SOUTH AFRICA,580,165,0.0891347779314584,0.2844827586206896,0.0253573075149838,4.5
3,PAPUA NEW GUINEA,132,60,0.020285846011987,0.4545454545454545,0.0092208390963577,2.2
4,MEXICO,96,55,0.0147533425541724,0.5729166666666666,0.0084524358383279,2.1
5,BRAZIL,122,51,0.0187490394959274,0.4180327868852459,0.0078377132319041,2.1
6,PHILIPPINES,60,40,0.0092208390963577,0.6666666666666666,0.0061472260642385,1.8
7,NEW ZEALAND,140,37,0.0215152912248347,0.2642857142857143,0.0056861841094206,1.8
8,REUNION,63,33,0.0096818810511756,0.5238095238095238,0.0050714615029967,2.7
9,ITALY,68,29,0.0104502843092054,0.4264705882352941,0.0044567388965729,1.6
10,CUBA,44,28,0.0067619486706623,0.6363636363636364,0.0043030582449669,1.6
11,CROATIA,34,25,0.0052251421546027,0.7352941176470589,0.003842016290149,1.5
12,NEW CALEDONIA,63,25,0.0096818810511756,0.3968253968253968,0.003842016290149,1.5
13,FIJI,65,24,0.0099892423543875,0.3692307692307692,0.0036883356385431,1.5
14,INDIA,33,22,0.0050714615029967,0.6666666666666666,0.0033809743353311,1.4
15,MOZAMBIQUE,42,22,0.0064545873674504,0.5238095238095238,0.0033809743353311,1.4
16,EGYPT,46,21,0.0070693099738742,0.4565217391304347,0.0032272936837252,1.4
17,JAPAN,35,19,0.0053788228062086,0.5428571428571428,0.0029199323805132,1.4
18,BAHAMAS,127,18,0.0195174427539572,0.1417322834645669,0.0027662517289073,1.4
19,HONG KONG,25,18,0.003842016290149,0.72,0.0027662517289073,1.4
20,SPAIN,43,18,0.0066082680190564,0.4186046511627907,0.0027662517289073,1.4
21,JAMAICA,28,18,0.0043030582449669,0.6428571428571429,0.0027662517289073,1.4
22,PANAMA,30,17,0.0046104195481788,0.5666666666666667,0.0026125710773013,1.3
23,GREECE,19,15,0.0029199323805132,0.7894736842105263,0.0023052097740894,1.3
24,SOLOMON ISLANDS,27,13,0.0041493775933609,0.4814814814814814,0.0019978484708775,1.3
25,INDONESIA,21,13,0.0032272936837252,0.6190476190476191,0.0019978484708775,1.3
26,COSTA RICA,18,11,0.0027662517289073,0.6111111111111112,0.0016904871676655,1.2
27,IRAN,23,9,0.0035346549869371,0.391304347826087,0.0013831258644536,1.2
28,ATLANTIC OCEAN,16,9,0.0024588904256954,0.5625,0.0013831258644536,1.2
29,VANUATU,12,9,0.0018441678192715,0.75,0.0013831258644536,1.2
30,PACIFIC OCEAN,18,8,0.0027662517289073,0.4444444444444444,0.0012294452128477,1.1
31,YEMEN,8,7,0.0012294452128477,0.875,0.0010757645612417,1.1
32,ENGLAND,25,7,0.003842016290149,0.28,0.0010757645612417,1.1
33,TONGA,16,7,0.0024588904256954,0.4375,0.0010757645612417,1.1
34,CARIBBEAN SEA,8,6,0.0012294452128477,0.75,0.0009220839096357,1.1
35,SOUTH KOREA,8,6,0.0012294452128477,0.75,0.0009220839096357,1.1
36,SEYCHELLES,9,6,0.0013831258644536,0.6666666666666666,0.0009220839096357,1.1
37,NEW GUINEA,10,6,0.0015368065160596,0.6,0.0009220839096357,1.1
38,TURKEY,12,5,0.0018441678192715,0.4166666666666667,0.0007684032580298,1.1
39,SIERRA LEONE,9,5,0.0013831258644536,0.5555555555555556,0.0007684032580298,1.1
40,DOMINICAN REPUBLIC,7,5,0.0010757645612417,0.7142857142857143,0.0007684032580298,1.1
41,FRANCE,12,5,0.0018441678192715,0.4166666666666667,0.0007684032580298,1.1
42,SENEGAL,11,5,0.0016904871676655,0.4545454545454545,0.0007684032580298,1.1
43,SOMALIA,6,5,0.0009220839096357,0.8333333333333334,0.0007684032580298,1.1
44,KENYA,8,5,0.0012294452128477,0.625,0.0007684032580298,1.1
45,INDIAN OCEAN,7,5,0.0010757645612417,0.7142857142857143,0.0007684032580298,1.1
46,FRENCH POLYNESIA,34,5,0.0052251421546027,0.1470588235294117,0.0007684032580298,1.1
47,NICARAGUA,6,4,0.0009220839096357,0.6666666666666666,0.0006147226064238,1.1
48,OKINAWA,6,4,0.0009220839096357,0.6666666666666666,0.0006147226064238,1.1
49,TANZANIA,6,4,0.0009220839096357,0.6666666666666666,0.0006147226064238,1.1
50,SINGAPORE,5,4,0.0007684032580298,0.8,0.0006147226064238,1.1
51,CHINA,9,4,0.0013831258644536,0.4444444444444444,0.0006147226064238,1.1
52,BERMUDA,14,4,0.0021515291224834,0.2857142857142857,0.0006147226064238,1.1
